704,0.0029
705,0.0017
706,0.0017
707,0.0004
708,0.002
709,0.0028
710,0.0021
711,0.0019
712,0.0013
713,0.0015
714,0.0007
715,0.0015
716,0.0016
717,0.0022
718,0.0008
719,0.0022
720,0.0005
721,0.0012
722,0.0025
723,0.0017
724,0.0021
725,0.0023
726,0.0017
727,0.0028
728,0.0014
729,0.0001
730,0.0016
731
732,0.0013
733,0.0029
734,0.0023
735,0.0012
736,0.0007
737,0.0013
738,0.0017
739,0.0015
740,0.0013
741,0.0015
742,0.0006
743,0.0019
744,0.0007
745,-0.0012
746,0.001
747,-0.0008
748,0.0013
749,0.0022
750,0.0003
751,-0.0003
752,0.0013
753,0.0008
754,0.0007
755,-0.0008
756,0.0008
757,0.0004
758,0.0004
759,0.001
760,0.001
761,0.0012
762,0.0015
763,0.0002
764,0.0014
765,0.001
766,-0.0001
767,0.0012
768,0.0008
769,0.001
770,0.0008
771,0.0008
772,0.0014
773,0.0019
774,0.0004
775,0.0022
776,0.0009
777,0.0009
778,0.0014
779,0.0014
780,0.0006
781,0.0008
782
783,0.0014
784,0.0009
785,0.0013
786,0.0009
787,0.0011
788,0.0013
789,0.0018
790,0.0017
791,0.0014
792,0.0015
793,0.0023
794,0.0006
795,-0.0006
796,0.0011
797,0.0019
798,0.0007
799,0.0014
800,0.0003
